exam_type,subject,year,region,data_type,grade_system,g1,g2,g3,g4,g5,g6,g7,g8,g9,g10,u,pass_rate,pass_threshold,candidates
A-Level,Maths (including Further),2001,UK,Exam,A*-U,,29.3,18.8,16.0,14.1,10.9,6.4,,,,4.5,89.0,A*-E,66247
A-Level,Maths (including Further),2000,UK,Exam,A*-U,,28.9,19.2,16.7,14.0,10.1,6.3,,,,4.8,88.9,A*-E,67036
A-Level,Maths (including Further),1999,UK,Exam,A*-U,,28.3,19.0,16.5,13.8,10.7,6.6,,,,5.1,88.3,A*-E,69945
A-Level,Maths (including Further),1998,UK,Exam,A*-U,,28.0,19.1,16.7,13.9,10.6,6.5,,,,5.2,88.3,A*-E,70554
A-Level,Maths (including Further),1997,UK,Exam,A*-U,,27.0,20.2,17.7,14.0,10.4,6.1,,,,5.2,88.7,A*-E,69142
A-Level,Maths (including Further),1996,UK,Exam,A*-U,,26.7,19.3,17.0,14.1,10.9,6.4,,,,5.6,88.0,A*-E,67442
A-Level,Maths (including Further),1995,UK,Exam,A*-U,,27.4,18.3,16.6,14.1,10.5,6.7,,,,6.4,86.9,A*-E,64605
A-Level,Maths (including Further),1994,UK,Exam,A*-U,,25.3,18.0,16.5,14.3,11.0,7.3,,,,7.6,85.1,A*-E,64919
A-Level,Maths (including Further),1993,UK,Exam,A*-U,,24.3,17.0,15.7,14.0,11.5,7.8,,,,9.7,82.4,A*-E,66340
A-Level,"Media, Film, TV studies",2025,UK,Exam,A*-U,2.4,12.4,35.6,31.8,13.7,3.3,,,,,0.7,99.3,A*-E,23320
A-Level,"Media, Film, TV studies",2024,UK,Exam,A*-U,2.2,11.3,34.7,32.2,14.6,4.1,,,,,0.9,99.1,A*-E,22990
A-Level,"Media, Film, TV studies",2023,UK,Exam,A*-U,2.1,10.9,35.7,32.3,14.2,3.7,,,,,1.1,98.9,A*-E,23193
A-Level,"Media, Film, TV studies",2022,UK,Exam,A*-U,6.2,17.4,37.9,25.9,9.5,2.2,,,,,0.9,99.1,A*-E,21055
A-Level,"Media, Film, TV studies",2021,UK,Exam,A*-U,8.0,21.6,33.3,25.9,8.4,2.3,,,,,0.5,99.5,A*-E,20831
A-Level,"Media, Film, TV studies",2020,UK,Teacher,A*-U,5.2,18.6,35.2,30.6,8.9,1.4,,,,,0.1,99.9,A*-E,21585
A-Level,"Media, Film, TV studies",2020,UK,Exam,A*-U,2.1,12.0,35.6,33.7,13.2,2.9,,,,,0.5,99.5,A*-E,21584
A-Level,"Media, Film, TV studies",2019,UK,Exam,A*-U,1.5,9.8,33.3,35.4,15.5,3.5,,,,,1.0,99.0,A*-E,21874
A-Level,"Media, Film, TV studies",2018,UK,Exam,A*-U,1.8,10.0,31.7,36.2,16.0,3.5,,,,,0.8,99.2,A*-E,25384
A-Level,"Media, Film, TV studies",2017,UK,Exam,A*-U,1.7,9.8,32.4,37.1,15.5,2.9,,,,,0.6,99.4,A*-E,26956
A-Level,"Media, Film, TV studies",2016,UK,Exam,A*-U,1.2,9.4,32.0,37.8,16.1,3.0,,,,,0.5,99.5,A*-E,28140
A-Level,"Media, Film, TV studies",2015,UK,Exam,A*-U,1.4,9.5,31.6,37.4,16.2,3.2,,,,,0.7,99.3,A*-E,28467
A-Level,"Media, Film, TV studies",2014,UK,Exam,A*-U,1.4,9.1,31.9,37.4,16.2,3.4,,,,,0.6,99.4,A*-E,28497
A-Level,"Media, Film, TV studies",2013,UK,Exam,A*-U,1.3,9.4,31.7,37.1,16.4,3.4,,,,,0.7,99.3,A*-E,29112
A-Level,"Media, Film, TV studies",2012,UK,Exam,A*-U,1.6,9.4,30.3,36.9,17.5,3.6,,,,,0.7,99.3,A*-E,32111
A-Level,"Media, Film, TV studies",2011,UK,Exam,A*-U,1.6,10.2,31.0,35.9,16.6,3.8,,,,,0.9,99.1,A*-E,33855
A-Level,"Media, Film, TV studies",2010,UK,Exam,A*-U,1.8,10.7,31.0,34.7,16.7,4.1,,,,,1.0,99.0,A*-E,33375
A-Level,"Media, Film, TV studies",2009,UK,Exam,A*-U,,13.2,31.7,34.5,16.1,3.7,,,,,0.8,99.2,A*-E,33822
A-Level,"Media, Film, TV studies",2008,UK,Exam,A*-U,,13.7,31.3,33.5,16.3,4.2,,,,,1.0,99.0,A*-E,32749
A-Level,"Media, Film, TV studies",2007,UK,Exam,A*-U,,14.1,31.1,33.3,16.2,4.3,,,,,1.0,99.0,A*-E,31942
A-Level,"Media, Film, TV studies",2006,UK,Exam,A*-U,,13.8,29.9,32.8,17.3,5.0,,,,,1.2,98.8,A*-E,30964
A-Level,"Media, Film, TV studies",2005,UK,Exam,A*-U,,13.6,29.1,33.0,17.8,5.1,,,,,1.4,98.6,A*-E,28261
A-Level,"Media, Film, TV studies",2004,UK,Exam,A*-U,,13.7,27.7,31.6,19.3,5.9,,,,,1.8,98.2,A*-E,26894
A-Level,"Media, Film, TV studies",2003,UK,Exam,A*-U,,12.4,26.2,31.3,21.0,7.3,,,,,1.8,98.2,A*-E,24179
A-Level,"Media, Film, TV studies",2002,UK,Exam,A*-U,,11.9,24.8,32.1,21.6,7.5,,,,,2.1,97.9,A*-E,20172
A-Level,"Media, Film, TV studies",2001,UK,Exam,A*-U,,12.0,18.2,32.7,23.0,9.6,2.8,,,,1.7,95.5,A*-E,15805
A-Level,"Media, Film, TV studies",2000,UK,Exam,A*-U,,10.1,16.8,28.8,25.7,12.6,3.8,,,,2.2,94.0,A*-E,15269
A-Level,"Media, Film, TV studies",1999,UK,Exam,A*-U,,9.7,16.8,30.0,25.1,12.1,4.2,,,,2.1,93.7,A*-E,14222
A-Level,"Media, Film, TV studies",1998,UK,Exam,A*-U,,10.6,16.1,28.6,24.9,13.0,4.3,,,,2.5,93.2,A*-E,13545
A-Level,"Media, Film, TV studies",1997,UK,Exam,A*-U,,10.9,17.3,28.3,24.3,12.7,4.3,,,,2.2,93.5,A*-E,11517
A-Level,"Media, Film, TV studies",1996,UK,Exam,A*-U,,10.6,17.7,29.2,24.8,12.1,3.8,,,,1.8,94.4,A*-E,8883
A-Level,"Media, Film, TV studies",1995,UK,Exam,A*-U,,10.1,17.4,28.3,24.9,12.9,4.1,,,,2.3,93.6,A*-E,7056
A-Level,Music,2025,UK,Exam,A*-U,7.3,17.4,27.4,24.8,14.8,6.0,,,,,2.2,97.8,A*-E,5418
A-Level,Music,2024,UK,Exam,A*-U,6.8,17.4,28.0,24.7,15.2,6.0,,,,,1.9,98.1,A*-E,5517
A-Level,Music,2023,UK,Exam,A*-U,6.7,17.5,26.4,25.0,15.0,7.1,,,,,2.3,97.7,A*-E,5493
A-Level,Music,2022,UK,Exam,A*-U,16.9,25.4,24.6,18.3,9.8,3.8,,,,,1.2,98.8,A*-E,5916
A-Level,Music,2021,UK,Exam,A*-U,23.7,31.1,24.6,13.7,4.9,1.8,,,,,0.2,99.8,A*-E,5686
A-Level,Music,2020,UK,Teacher,A*-U,13.3,27.8,30.2,20.1,6.8,1.7,,,,,0.1,99.9,A*-E,5699
A-Level,Music,2020,UK,Exam,A*-U,10.8,23.7,29.2,21.5,10.3,3.7,,,,,0.8,99.2,A*-E,5698
A-Level,Music,2019,UK,Exam,A*-U,4.5,14.9,26.9,27.0,17.9,7.0,,,,,1.8,98.2,A*-E,5848
A-Level,Music,2018,UK,Exam,A*-U,4.5,15.5,26.3,26.9,17.9,7.2,,,,,1.7,98.3,A*-E,6251
A-Level,Music,2017,UK,Exam,A*-U,5.0,14.8,25.7,27.1,18.6,7.3,,,,,1.5,98.5,A*-E,6428
A-Level,Music,2016,UK,Exam,A*-U,4.1,14.9,26.1,27.6,18.8,7.1,,,,,1.4,98.6,A*-E,7089
A-Level,Music,2015,UK,Exam,A*-U,4.6,14.3,25.8,27.6,18.9,7.5,,,,,1.3,98.7,A*-E,7776
A-Level,Music,2014,UK,Exam,A*-U,3.4,14.7,25.4,27.6,19.3,8.1,,,,,1.5,98.5,A*-E,8375
A-Level,Music,2013,UK,Exam,A*-U,3.9,14.3,24.6,27.6,20.4,7.7,,,,,1.5,98.5,A*-E,8839
A-Level,Music,2012,UK,Exam,A*-U,4.1,14.6,24.6,26.8,19.7,8.5,,,,,1.7,98.3,A*-E,9495
A-Level,Music,2011,UK,Exam,A*-U,4.2,14.8,24.9,26.3,19.6,8.3,,,,,1.9,98.1,A*-E,10064
A-Level,Music,2010,UK,Exam,A*-U,4.0,15.1,24.2,25.4,20.1,9.2,,,,,2.0,98.0,A*-E,9969
A-Level,Music,2009,UK,Exam,A*-U,,18.5,23.9,24.8,20.1,10.1,,,,,2.6,97.4,A*-E,10425
A-Level,Music,2008,UK,Exam,A*-U,,18.1,23.6,24.4,21.0,10.1,,,,,2.8,97.2,A*-E,10673
A-Level,Music,2007,UK,Exam,A*-U,,17.6,22.9,25.4,20.5,10.3,,,,,3.3,96.7,A*-E,10547
A-Level,Music,2006,UK,Exam,A*-U,,17.8,22.9,25.0,20.3,10.7,,,,,3.3,96.7,A*-E,10407
A-Level,Music,2005,UK,Exam,A*-U,,18.9,22.3,24.7,19.9,10.9,,,,,3.3,96.7,A*-E,9774
A-Level,Music,2004,UK,Exam,A*-U,,21.0,23.3,23.6,18.7,9.7,,,,,3.7,96.3,A*-E,9280
A-Level,Music,2003,UK,Exam,A*-U,,21.8,23.0,24.7,17.9,9.2,,,,,3.4,96.6,A*-E,8826
A-Level,Music,2002,UK,Exam,A*-U,,21.7,24.8,24.7,17.5,8.5,,,,,2.8,97.2,A*-E,7441
A-Level,Music,2001,UK,Exam,A*-U,,22.3,19.4,24.6,18.8,9.6,3.8,,,,1.5,94.7,A*-E,6708
A-Level,Music,2000,UK,Exam,A*-U,,21.8,19.8,23.9,18.4,10.0,4.3,,,,1.8,93.9,A*-E,6815
A-Level,Music,1999,UK,Exam,A*-U,,20.3,20.5,24.7,18.6,10.1,4.2,,,,1.6,94.2,A*-E,6875
A-Level,Music,1998,UK,Exam,A*-U,,19.5,20.5,23.5,19.0,10.8,4.5,,,,2.2,93.3,A*-E,7012
A-Level,Music,1997,UK,Exam,A*-U,,19.2,20.8,24.0,18.6,11.0,4.5,,,,1.9,93.6,A*-E,6916
A-Level,Music,1996,UK,Exam,A*-U,,19.3,20.4,23.3,19.0,11.5,4.9,,,,1.6,93.5,A*-E,6518
A-Level,Music,1995,UK,Exam,A*-U,,19.1,19.9,23.4,18.8,11.7,4.9,,,,2.2,92.9,A*-E,6029
A-Level,Music,1994,UK,Exam,A*-U,,17.9,18.9,24.1,19.8,11.3,5.4,,,,2.6,92.0,A*-E,5800
A-Level,Music,1993,UK,Exam,A*-U,,15.9,16.3,21.8,19.6,14.3,7.0,,,,5.0,88.0,A*-E,5134
A-Level,*Other Modern Languages,2025,UK,Exam,A*-U,40.4,29.9,16.4,7.4,3.5,1.3,,,,,1.0,99.0,A*-E,6672
A-Level,*Other Modern Languages,2024,UK,Exam,A*-U,38.7,29.6,18.3,7.5,3.4,1.4,,,,,1.1,98.9,A*-E,6429
A-Level,*Other Modern Languages,2023,UK,Exam,A*-U,23.1,37.3,23.5,9.4,3.6,1.8,,,,,1.4,98.6,A*-E,5955
A-Level,*Other Modern Languages,2022,UK,Exam,A*-U,38.5,32.5,17.5,6.1,2.6,1.5,,,,,1.3,98.7,A*-E,5518
A-Level,*Other Modern Languages,2021,UK,Exam,A*-U,50.6,31.5,12.3,4.2,0.8,0.3,,,,,0.3,99.7,A*-E,5256
A-Level,*Other Modern Languages,2020,UK,Teacher,A*-U,31.3,42.5,17.9,6.0,1.4,0.3,,,,,0.6,99.4,A*-E,4928
A-Level,*Other Modern Languages,2020,UK,Exam,A*-U,25.7,40.5,22.9,7.8,1.9,0.4,,,,,0.8,99.2,A*-E,4921
A-Level,*Other Modern Languages,2019,UK,Exam,A*-U,17.4,33.7,26.9,11.9,5.6,2.3,,,,,2.2,97.8,A*-E,8289
A-Level,*Other Modern Languages,2018,UK,Exam,A*-U,13.7,37.8,29.3,12.0,4.1,1.7,,,,,1.4,98.6,A*-E,9673
A-Level,*Other Modern Languages,2017,UK,Exam,A*-U,14.1,36.7,29.7,11.7,4.2,1.9,,,,,1.7,98.3,A*-E,9386
A-Level,*Other Modern Languages,2016,UK,Exam,A*-U,13.7,37.1,28.9,12.5,4.3,2.2,,,,,1.3,98.7,A*-E,9209
A-Level,*Other Modern Languages,2015,UK,Exam,A*-U,15.0,36.6,29.3,11.4,4.3,2.1,,,,,1.3,98.7,A*-E,9375
A-Level,*Other Modern Languages,2014,UK,Exam,A*-U,14.0,37.5,28.3,12.1,4.2,2.2,,,,,1.7,98.3,A*-E,9007
A-Level,*Other Modern Languages,2013,UK,Exam,A*-U,13.0,36.3,29.7,12.2,4.5,2.4,,,,,1.9,98.1,A*-E,9087
A-Level,*Other Modern Languages,2012,UK,Exam,A*-U,12.8,38.9,29.0,12.0,4.1,1.7,,,,,1.5,98.5,A*-E,9136
A-Level,*Other Modern Languages,2011,UK,Exam,A*-U,13.1,38.7,27.9,11.7,4.8,2.3,,,,,1.5,98.5,A*-E,8953
A-Level,*Other Modern Languages,2010,UK,Exam,A*-U,13.8,36.9,27.4,11.5,5.1,2.9,,,,,2.4,97.6,A*-E,7370
A-Level,*Other Modern Languages,2009,UK,Exam,A*-U,,46.8,31.6,11.8,4.6,2.8,,,,,2.4,97.6,A*-E,7932
A-Level,*Other Modern Languages,2008,UK,Exam,A*-U,,47.7,29.3,12.2,5.4,3.2,,,,,2.2,97.8,A*-E,7377
A-Level,*Other Modern Languages,2007,UK,Exam,A*-U,,47.5,29.6,13.0,4.7,2.8,,,,,2.4,97.6,A*-E,6752
A-Level,*Other Modern Languages,2006,UK,Exam,A*-U,,43.9,30.0,13.7,6.0,3.3,,,,,3.1,96.9,A*-E,7009
A-Level,*Other Modern Languages,2005,UK,Exam,A*-U,,40.9,29.1,16.3,6.7,3.6,,,,,3.4,96.6,A*-E,6412
A-Level,*Other Modern Languages,2004,UK,Exam,A*-U,,42.6,30.3,14.6,6.6,3.2,,,,,2.7,97.3,A*-E,6023
A-Level,*Other Modern Languages,2003,UK,Exam,A*-U,,45.1,27.6,14.8,6.3,3.3,,,,,2.9,97.1,A*-E,5918
A-Level,*Other Modern Languages,2002,UK,Exam,A*-U,,43.0,27.2,15.2,6.1,2.9,,,,,5.6,94.4,A*-E,5523
A-Level,*Other Modern Languages,2001,UK,Exam,A*-U,,43.6,21.6,16.7,10.0,5.1,1.9,,,,1.1,97.0,A*-E,2530
A-Level,*Other Modern Languages,2000,UK,Exam,A*-U,,35.3,25.8,17.5,10.7,5.8,2.7,,,,2.2,95.1,A*-E,5296
A-Level,*Other Modern Languages,1999,UK,Exam,A*-U,,34.5,25.3,17.5,11.5,6.1,2.6,,,,2.5,94.9,A*-E,4973
A-Level,*Other Modern Languages,1998,UK,Exam,A*-U,,32.4,25.7,18.6,11.4,6.0,3.0,,,,2.9,94.1,A*-E,5157
A-Level,*Other Modern Languages,1997,UK,Exam,A*-U,,30.4,23.8,17.1,12.6,7.0,4.1,,,,5.0,90.9,A*-E,5501
A-Level,*Other Modern Languages,1996,UK,Exam,A*-U,,29.4,22.1,18.8,12.6,8.4,4.4,,,,4.3,91.3,A*-E,5431
A-Level,*Other Modern Languages,1995,UK,Exam,A*-U,,29.9,24.4,18.6,12.6,6.6,3.8,,,,4.1,92.1,A*-E,4886
A-Level,*Other Modern Languages,1994,UK,Exam,A*-U,,24.3,24.7,19.8,14.1,8.0,4.6,,,,4.5,90.9,A*-E,4500
A-Level,*Other Modern Languages,1993,UK,Exam,A*-U,,22.1,24.7,19.0,14.2,9.8,5.5,,,,4.8,89.7,A*-E,4478
A-Level,"Other sciences (All science subjects except Biology, Chemistry and Physics)",2025,UK,Exam,A*-U,8.5,15.7,21.7,24.2,16.9,9.6,,,,,3.5,96.5,A*-E,2447
A-Level,"Other sciences (All science subjects except Biology, Chemistry and Physics)",2024,UK,Exam,A*-U,8.4,15.6,22.7,22.7,17.9,9.5,,,,,3.2,96.8,A*-E,2585
A-Level,"Other sciences (All science subjects except Biology, Chemistry and Physics)",2023,UK,Exam,A*-U,9.5,17.0,23.5,21.9,17.6,7.8,,,,,2.6,97.4,A*-E,2409
A-Level,"Other sciences (All science subjects except Biology, Chemistry and Physics)",2022,UK,Exam,A*-U,12.0,21.5,22.9,20.6,15.1,5.8,,,,,2.1,97.9,A*-E,2209
A-Level,"Other sciences (All science subjects except Biology, Chemistry and Physics)",2021,UK,Exam,A*-U,14.2,27.1,25.0,19.9,9.1,3.8,,,,,0.9,99.1,A*-E,2212
A-Level,"Other sciences (All science subjects except Biology, Chemistry and Physics)",2020,UK,Teacher,A*-U,12.4,23.3,28.5,23.7,9.5,2.4,,,,,0.2,99.8,A*-E,2196
A-Level,"Other sciences (All science subjects except Biology, Chemistry and Physics)",2020,UK,Exam,A*-U,8.8,18.9,23.6,23.2,16.2,7.7,,,,,1.6,98.4,A*-E,2196
A-Level,"Other sciences (All science subjects except Biology, Chemistry and Physics)",2019,UK,Exam,A*-U,6.2,16.3,22.5,24.7,18.2,9.6,,,,,2.5,97.5,A*-E,2527
A-Level,"Other sciences (All science subjects except Biology, Chemistry and Physics)",2018,UK,Exam,A*-U,7.8,17.8,26.1,24.7,14.2,6.7,,,,,2.7,97.3,A*-E,2711
A-Level,"Other sciences (All science subjects except Biology, Chemistry and Physics)",2017,UK,Exam,A*-U,8.4,19.7,26.8,22.8,15.3,5.6,,,,,1.4,98.6,A*-E,2840
A-Level,"Other sciences (All science subjects except Biology, Chemistry and Physics)",2016,UK,Exam,A*-U,7.6,21.4,26.4,22.9,14.6,5.5,,,,,1.6,98.4,A*-E,3304
A-Level,"Other sciences (All science subjects except Biology, Chemistry and Physics)",2015,UK,Exam,A*-U,7.7,20.6,25.5,23.8,14.6,6.1,,,,,1.7,98.3,A*-E,3481
A-Level,"Other sciences (All science subjects except Biology, Chemistry and Physics)",2014,UK,Exam,A*-U,8.8,20.4,25.3,21.5,15.0,7.2,,,,,1.8,98.2,A*-E,3486
A-Level,"Other sciences (All science subjects except Biology, Chemistry and Physics)",2013,UK,Exam,A*-U,8.4,19.2,26.2,22.5,14.9,6.7,,,,,2.1,97.9,A*-E,3477
A-Level,"Other sciences (All science subjects except Biology, Chemistry and Physics)",2012,UK,Exam,A*-U,8.6,21.4,25.0,21.4,14.8,6.7,,,,,2.1,97.9,A*-E,3375
A-Level,"Other sciences (All science subjects except Biology, Chemistry and Physics)",2011,UK,Exam,A*-U,9.9,20.4,23.9,21.0,13.9,7.8,,,,,3.1,96.9,A*-E,3277
A-Level,Performing / Expressive Arts,2025,UK,Exam,A*-U,8.5,18.2,35.5,22.7,11.6,2.8,,,,,0.7,99.3,A*-E,1168
A-Level,Performing / Expressive Arts,2024,UK,Exam,A*-U,7.6,20.0,30.3,27.1,10.7,3.5,,,,,0.8,99.2,A*-E,1170
A-Level,Performing / Expressive Arts,2023,UK,Exam,A*-U,8.6,20.4,33.5,23.6,9.3,3.7,,,,,0.9,99.1,A*-E,1203
A-Level,Performing / Expressive Arts,2022,UK,Exam,A*-U,17.0,26.3,32.1,18.3,5.1,0.7,,,,,0.5,99.5,A*-E,1380
A-Level,Performing / Expressive Arts,2021,UK,Exam,A*-U,20.9,30.2,30.6,14.8,2.9,0.5,,,,,0.1,99.9,A*-E,1395
A-Level,Performing / Expressive Arts,2020,UK,Teacher,A*-U,13.6,29.7,34.7,17.9,3.9,0.2,,,,,0.0,100.0,A*-E,1329
A-Level,Performing / Expressive Arts,2020,UK,Exam,A*-U,11.1,23.1,33.3,23.2,7.8,1.4,,,,,0.1,99.9,A*-E,1328
A-Level,Performing / Expressive Arts,2019,UK,Exam,A*-U,7.2,16.8,32.3,29.1,11.7,2.3,,,,,0.6,99.4,A*-E,1263
A-Level,Performing / Expressive Arts,2018,UK,Exam,A*-U,7.2,14.1,34.7,29.0,11.7,2.6,,,,,0.7,99.3,A*-E,1520
A-Level,Performing / Expressive Arts,2017,UK,Exam,A*-U,5.9,15.7,35.4,28.3,12.1,2.3,,,,,0.3,99.7,A*-E,1948
A-Level,Performing / Expressive Arts,2016,UK,Exam,A*-U,4.4,15.0,35.8,29.7,12.3,2.5,,,,,0.2,99.8,A*-E,2179
A-Level,Performing / Expressive Arts,2015,UK,Exam,A*-U,4.7,13.8,34.0,30.2,14.9,2.3,,,,,0.1,99.9,A*-E,2573
A-Level,Performing / Expressive Arts,2014,UK,Exam,A*-U,3.6,12.5,34.2,30.7,15.0,3.6,,,,,0.4,99.6,A*-E,2546
A-Level,Performing / Expressive Arts,2013,UK,Exam,A*-U,3.9,12.7,33.0,30.5,16.2,3.2,,,,,0.5,99.5,A*-E,2782
A-Level,Performing / Expressive Arts,2012,UK,Exam,A*-U,3.9,13.9,30.3,30.6,15.9,4.7,,,,,0.7,99.3,A*-E,3152
A-Level,Performing / Expressive Arts,2011,UK,Exam,A*-U,4.7,12.1,30.1,30.7,16.8,4.9,,,,,0.7,99.3,A*-E,3575
A-Level,Performing / Expressive Arts,2010,UK,Exam,A*-U,5.9,12.0,29.4,30.1,16.3,5.5,,,,,0.8,99.2,A*-E,3708
A-Level,Performing / Expressive Arts,2009,UK,Exam,A*-U,,18.6,27.7,29.0,17.8,5.5,,,,,1.4,98.6,A*-E,3591
A-Level,Performing / Expressive Arts,2008,UK,Exam,A*-U,,16.7,27.4,28.8,19.1,6.3,,,,,1.7,98.3,A*-E,3628
A-Level,Performing / Expressive Arts,2007,UK,Exam,A*-U,,14.8,25.9,29.6,20.3,7.8,,,,,1.6,98.4,A*-E,3930
A-Level,Performing / Expressive Arts,2006,UK,Exam,A*-U,,14.6,23.9,28.9,21.4,9.0,,,,,2.2,97.8,A*-E,3949
A-Level,Philosophy,2025,UK,Exam,A*-U,4.6,17.6,28.5,23.4,15.5,7.7,,,,,2.6,97.4,A*-E,3814
A-Level,Philosophy,2024,UK,Exam,A*-U,4.8,16.9,26.9,24.2,14.4,9.1,,,,,3.7,96.3,A*-E,3803
A-Level,Physics,2025,UK,Exam,A*-U,11.2,20.9,20.8,18.8,14.3,9.4,,,,,4.6,95.4,A*-E,44957
A-Level,Physics,2024,UK,Exam,A*-U,11.3,20.6,19.5,18.3,15.6,10.0,,,,,4.7,95.3,A*-E,43114
A-Level,Physics,2023,UK,Exam,A*-U,11.3,20.4,19.7,17.9,15.2,10.8,,,,,4.7,95.3,A*-E,38379
A-Level,Physics,2022,UK,Exam,A*-U,16.9,22.6,20.5,17.6,12.7,7.2,,,,,2.5,97.5,A*-E,39753
A-Level,Physics,2021,UK,Exam,A*-U,21.9,24.9,22.0,16.4,9.2,4.9,,,,,0.7,99.3,A*-E,40741
A-Level,Physics,2020,UK,Teacher,A*-U,17.4,24.5,23.7,18.8,10.8,4.4,,,,,0.4,99.6,A*-E,37921
A-Level,Physics,2020,UK,Exam,A*-U,10.5,20.5,21.1,20.1,15.8,8.8,,,,,3.2,96.8,A*-E,37893
A-Level,Physics,2019,UK,Exam,A*-U,8.7,19.2,22.5,20.1,15.6,9.2,,,,,4.7,95.3,A*-E,38958
A-Level,Physics,2018,UK,Exam,A*-U,9.4,20.2,20.7,19.8,16.0,9.7,,,,,4.2,95.8,A*-E,37806
A-Level,Physics,2017,UK,Exam,A*-U,9.2,20.0,20.9,19.7,16.3,9.8,,,,,4.2,95.8,A*-E,36578
A-Level,Physics,2016,UK,Exam,A*-U,8.8,20.8,22.5,19.3,15.0,10.0,,,,,3.6,96.4,A*-E,35344
A-Level,Physics,2015,UK,Exam,A*-U,9.7,20.7,22.2,18.9,14.9,10.0,,,,,3.6,96.4,A*-E,36287
A-Level,Physics,2014,UK,Exam,A*-U,10.0,20.6,22.8,18.8,14.7,9.8,,,,,3.3,96.7,A*-E,36701
A-Level,Physics,2013,UK,Exam,A*-U,9.2,21.8,23.6,19.3,14.1,8.9,,,,,3.1,96.9,A*-E,35569
A-Level,Physics,2012,UK,Exam,A*-U,9.9,22.0,23.1,19.0,13.9,8.9,,,,,3.2,96.8,A*-E,34509
A-Level,Physics,2011,UK,Exam,A*-U,10.4,22.6,22.2,18.3,14.5,8.7,,,,,3.3,96.7,A*-E,32860
A-Level,Physics,2010,UK,Exam,A*-U,10.3,22.6,22.0,18.0,13.8,9.4,,,,,3.9,96.1,A*-E,30976
A-Level,Physics,2009,UK,Exam,A*-U,,32.0,20.8,18.0,14.6,10.1,,,,,4.5,95.5,A*-E,29436
A-Level,Physics,2008,UK,Exam,A*-U,,31.8,20.8,18.0,14.8,10.1,,,,,4.5,95.5,A*-E,28096
A-Level,Physics,2007,UK,Exam,A*-U,,30.8,21.0,18.4,14.6,10.4,,,,,4.8,95.2,A*-E,27466
A-Level,Physics,2006,UK,Exam,A*-U,,29.4,21.3,18.2,14.8,11.0,,,,,5.3,94.7,A*-E,27368
A-Level,Physics,2005,UK,Exam,A*-U,,28.6,21.0,18.5,15.3,10.8,,,,,5.8,94.2,A*-E,28119
A-Level,Physics,2004,UK,Exam,A*-U,,28.4,20.7,18.8,15.2,10.9,,,,,6.0,94.0,A*-E,28698
A-Level,Physics,2003,UK,Exam,A*-U,,27.2,20.7,18.3,15.8,11.6,,,,,6.4,93.6,A*-E,30583
A-Level,Physics,2002,UK,Exam,A*-U,,26.8,20.1,18.6,15.8,11.9,,,,,6.8,93.2,A*-E,31543
A-Level,Physics,2001,UK,Exam,A*-U,,24.9,19.8,18.2,14.6,11.8,6.9,,,,3.8,89.3,A*-E,30701
A-Level,Physics,2000,UK,Exam,A*-U,,24.7,20.0,18.6,15.0,11.2,6.6,,,,3.9,89.5,A*-E,32059
A-Level,Physics,1999,UK,Exam,A*-U,,24.1,20.0,18.8,15.3,11.3,6.6,,,,4.9,89.5,A*-E,33880
A-Level,Physics,1998,UK,Exam,A*-U,,22.4,20.8,18.6,15.5,11.2,7.1,,,,4.4,88.5,A*-E,34244
A-Level,Physics,1997,UK,Exam,A*-U,,21.5,21.4,18.3,15.3,11.3,7.2,,,,5.0,87.8,A*-E,33508
A-Level,Physics,1996,UK,Exam,A*-U,,20.6,19.1,17.9,15.5,12.8,8.3,,,,5.8,85.9,A*-E,32801
A-Level,Physics,1995,UK,Exam,A*-U,,21.2,16.6,17.0,16.0,13.5,9.0,,,,6.7,84.3,A*-E,34802
A-Level,Physics,1994,UK,Exam,A*-U,,18.2,15.6,16.7,16.7,15.1,10.2,,,,7.5,82.2,A*-E,36147
A-Level,Physics,1993,UK,Exam,A*-U,,16.7,15.9,16.3,17.0,14.4,10.3,,,,9.5,80.3,A*-E,38168
A-Level,Political Studies,2025,UK,Exam,A*-U,8.3,19.7,30.4,23.1,12.1,4.4,,,,,2.0,98.0,A*-E,22185
A-Level,Political Studies,2024,UK,Exam,A*-U,8.5,19.9,29.2,21.6,12.9,5.7,,,,,2.2,97.8,A*-E,21926
A-Level,Political Studies,2023,UK,Exam,A*-U,8.3,19.6,28.9,22.9,12.4,5.7,,,,,2.1,97.9,A*-E,22163
A-Level,Political Studies,2022,UK,Exam,A*-U,14.8,24.3,29.6,18.7,8.5,2.9,,,,,1.2,98.8,A*-E,20496
A-Level,Political Studies,2021,UK,Exam,A*-U,19.1,27.4,26.5,17.6,6.6,2.3,,,,,0.5,99.5,A*-E,18473
A-Level,Political Studies,2020,UK,Teacher,A*-U,13.8,26.0,28.7,21.3,7.7,2.2,,,,,0.3,99.7,A*-E,17659
A-Level,Political Studies,2020,UK,Exam,A*-U,7.9,20.2,29.7,24.1,12.2,4.5,,,,,1.4,98.6,A*-E,17658
A-Level,Political Studies,2019,UK,Exam,A*-U,6.8,19.2,29.7,24.5,12.9,4.9,,,,,2.0,98.0,A*-E,19729
A-Level,Political Studies,2018,UK,Exam,A*-U,7.6,20.0,28.8,23.5,12.7,5.3,,,,,2.1,97.9,A*-E,17964
